,title,href,img,loc,price,etc
1,|특전|주상절리 제주제트 제트보트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111735613,https://www.jejumobile.kr/datas/f590892944de131749848593e2d94d7b.jpg,서귀포시,"18,000",예약필수
2,주상절리 제주제트 제트보트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178115,https://www.jejumobile.kr/datas/3ed940a40094926157bc5efa7b04cc96.jpg,서귀포시,"9,000",예약필수
3,스누피가든,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111455136,https://www.jejumobile.kr/datas/5ae84ccbf734e8966166e0d696b52c36.jpg,제주시 동부,"12,000",
4,빛의벙커 세잔 프로방스의 빛,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111735834,https://www.jejumobile.kr/datas/fd84c77282f8e8047943ccfda3cf7e5a.jpg,서귀포시 동부,"10,000",
5,우도 훈데르트바서파크|훈데르트바서뮤지엄|우도갤러리|우도여행,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111650785,https://www.jejumobile.kr/datas/3e49045686076aac29bd09d8c19b3b89.jpg,제주시 동부,"6,380",
6,카멜리아힐,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178142,https://www.jejumobile.kr/datas/22c4b3462b417a30bbd8366572dd9a09.jpg,서귀포시 서부,"6,200",
7,아쿠아플라넷제주 종합권,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111612508,https://www.jejumobile.kr/datas/db5f0d1da4d66350d0e8eaf11cd286c2.jpg,서귀포시 동부,"34,000",
8,|사전특가|뽀로로앤타요테마파크 테마파크 종합 이용권 3월,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111751006,https://www.jejumobile.kr/datas/a02d8510b8c18ccbca35e2937f4491b5.jpg,서귀포시 서부,"21,000",
9,아쿠아플라넷제주 AQ권 PM5,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111624018,https://www.jejumobile.kr/datas/f8ea0cb1ca7505104f07a264de28dbe1.jpg,서귀포시 동부,"25,000",
10,오설록 티뮤지엄_티라운지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111530743,https://www.jejumobile.kr/datas/8936a127681ebefc01199cc5cfcd68e2.jpg,서귀포시 서부,"32,000",예약필수
11,우도잠수함,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178068,https://www.jejumobile.kr/datas/2e1813bca19fe28f331f769729d37ed0.jpg,서귀포시 동부,"30,000",예약필수
12,우도정원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111717123,https://www.jejumobile.kr/datas/d3ed5e16d80d459421a6b0eccf920f58.jpg,서귀포시 동부,"4,000",
13,명월국민학교|카페|갤러리|한림,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111757876,https://www.jejumobile.kr/datas/be1b45b87a0ab382fa693a24967eddbd.jpg,제주시 서부,"9,000",
14,델문도 김녕점|김녕해수욕장|문도샌드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111767737,https://www.jejumobile.kr/datas/88875d76e6d25a47533d5944923295e0.jpg,서귀포시 동부,"9,000",
15,테디베어뮤지엄 제주,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111587642,https://www.jejumobile.kr/datas/10475fd374881c09687350bd6d514ba5.jpg,서귀포시,"8,000",
16,윈드WIND1947카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111299327,https://www.jejumobile.kr/datas/540281bb8245a35e839873ac7a107514.jpg,서귀포시,"21,000",
17,여미지식물원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178545,https://www.jejumobile.kr/datas/b1d17e6161268f4b2b25dfec9b1246b8.jpg,서귀포시,"6,600",
18,뽀로로앤타요테마파크 테마파크 종합 이용권,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111411594,https://www.jejumobile.kr/datas/eb929ae48a2dc6c43fe79f3278f97f5c.jpg,서귀포시 서부,"24,000",
19,아일랜드플라워 동물원|이색체험|동물체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111737788,https://www.jejumobile.kr/datas/0ed2d675744e8c551f0b5609a508598a.jpg,서귀포시,"4,000",
20,새별프렌즈|새별오름|동물체험|애월|제주여행,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111673505,https://www.jejumobile.kr/datas/4f686fb5f8e24b4ba0b086ba289e2e4d.jpg,"제주시,제주시 서부","14,000",
21,폴더|중문|액트몬,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111754113,https://www.jejumobile.kr/datas/2738be26753f3145fb91ef38bafd44fc.jpg,서귀포시,"9,000",
22,J1카트클럽 |주간|제이원카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111609443,https://www.jejumobile.kr/datas/1baa1d00b464f7986e282956319b532a.jpg,제주시,"15,900",
