title,href,img,loc,price,etc,lat,lng,addr
|특전|주상절리 제주제트 제트보트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111735613,https://www.jejumobile.kr/datas/f590892944de131749848593e2d94d7b.jpg,서귀포시,"18,000",예약필수,33.2384038,126.4395184,대한민국 제주특별자치도 서귀포시 대포동 2181
주상절리 제주제트 제트보트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178115,https://www.jejumobile.kr/datas/3ed940a40094926157bc5efa7b04cc96.jpg,서귀포시,"9,000",예약필수,33.2384038,126.4395184,대한민국 제주특별자치도 서귀포시 대포동 2181
스누피가든,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111455136,https://www.jejumobile.kr/datas/5ae84ccbf734e8966166e0d696b52c36.jpg,제주시 동부,"12,000",,33.4441871,126.7786455,"대한민국 제주특별자치도 제주시 특별자치도, 구좌읍 금백조로 930"
빛의벙커 세잔 프로방스의 빛,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111735834,https://www.jejumobile.kr/datas/fd84c77282f8e8047943ccfda3cf7e5a.jpg,서귀포시 동부,"10,000",,44.0144936,6.2116438,프랑스 쁘호벙스
우도 훈데르트바서파크|훈데르트바서뮤지엄|우도갤러리|우도여행,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111650785,https://www.jejumobile.kr/datas/3e49045686076aac29bd09d8c19b3b89.jpg,제주시 동부,"6,380",,33.4928509,126.955562,대한민국 제주특별자치도 제주시 우도면 우도해안길 32-12
카멜리아힐,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178142,https://www.jejumobile.kr/datas/22c4b3462b417a30bbd8366572dd9a09.jpg,서귀포시 서부,"6,200",,33.2889938,126.3701172,대한민국 제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아 힐
아쿠아플라넷제주 종합권,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111612508,https://www.jejumobile.kr/datas/db5f0d1da4d66350d0e8eaf11cd286c2.jpg,서귀포시 동부,"34,000",,0.0,0.0,
|사전특가|뽀로로앤타요테마파크 테마파크 종합 이용권 3월,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111751006,https://www.jejumobile.kr/datas/a02d8510b8c18ccbca35e2937f4491b5.jpg,서귀포시 서부,"21,000",,33.2998463,126.369851,대한민국 제주특별자치도 서귀포시 안덕면 병악로 269
아쿠아플라넷제주 AQ권 PM5,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111624018,https://www.jejumobile.kr/datas/f8ea0cb1ca7505104f07a264de28dbe1.jpg,서귀포시 동부,"25,000",,0.0,0.0,
오설록 티뮤지엄_티라운지,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111530743,https://www.jejumobile.kr/datas/8936a127681ebefc01199cc5cfcd68e2.jpg,서귀포시 서부,"32,000",예약필수,33.3058932,126.289534,대한민국 제주특별자치도 서귀포시 안덕면 신화역사로 15
우도잠수함,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178068,https://www.jejumobile.kr/datas/2e1813bca19fe28f331f769729d37ed0.jpg,서귀포시 동부,"30,000",예약필수,33.4729576,126.9342683,대한민국 제주특별자치도 서귀포시 성산읍 성산등용로 112-7
우도정원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111717123,https://www.jejumobile.kr/datas/d3ed5e16d80d459421a6b0eccf920f58.jpg,서귀포시 동부,"4,000",,33.5019025,126.947025,대한민국 제주특별자치도 제주시 우도면 연평리 1964
명월국민학교|카페|갤러리|한림,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111757876,https://www.jejumobile.kr/datas/be1b45b87a0ab382fa693a24967eddbd.jpg,제주시 서부,"9,000",,33.3885095,126.2651195,대한민국 제주특별자치도 제주시 한림읍 명월로 48
델문도 김녕점|김녕해수욕장|문도샌드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111767737,https://www.jejumobile.kr/datas/88875d76e6d25a47533d5944923295e0.jpg,서귀포시 동부,"9,000",,33.5582327,126.759787,대한민국 제주시 김녕해수욕장
테디베어뮤지엄 제주,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111587642,https://www.jejumobile.kr/datas/10475fd374881c09687350bd6d514ba5.jpg,서귀포시,"8,000",,33.2503549,126.4121736,대한민국 제주특별자치도 서귀포시 특별자치도 중문관광로110번길 31
윈드WIND1947카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111299327,https://www.jejumobile.kr/datas/540281bb8245a35e839873ac7a107514.jpg,서귀포시,"21,000",,33.2890188,126.5875565,대한민국 제주특별자치도 서귀포시 토평동 토평공단로 78-27
여미지식물원,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111178545,https://www.jejumobile.kr/datas/b1d17e6161268f4b2b25dfec9b1246b8.jpg,서귀포시,"6,600",,33.2525901,126.4143294,"대한민국 제주특별자치도 서귀포시 특별자치도, 중문관광로 93 여미지 식물원"
뽀로로앤타요테마파크 테마파크 종합 이용권,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111411594,https://www.jejumobile.kr/datas/eb929ae48a2dc6c43fe79f3278f97f5c.jpg,서귀포시 서부,"24,000",,33.2998463,126.369851,대한민국 제주특별자치도 서귀포시 안덕면 병악로 269
아일랜드플라워 동물원|이색체험|동물체험,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111737788,https://www.jejumobile.kr/datas/0ed2d675744e8c551f0b5609a508598a.jpg,서귀포시,"4,000",,0.0,0.0,
새별프렌즈|새별오름|동물체험|애월|제주여행,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111673505,https://www.jejumobile.kr/datas/4f686fb5f8e24b4ba0b086ba289e2e4d.jpg,"제주시,제주시 서부","14,000",,33.3659432,126.35644,대한민국 제주시 새별오름
폴더|중문|액트몬,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111754113,https://www.jejumobile.kr/datas/2738be26753f3145fb91ef38bafd44fc.jpg,서귀포시,"9,000",,33.2437344,126.4213441,"대한민국 제주특별자치도 서귀포시 특별자치도, 중문관광로 205 코시롱빌딩 B1 KR"
J1카트클럽 |주간|제이원카트,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111609443,https://www.jejumobile.kr/datas/1baa1d00b464f7986e282956319b532a.jpg,제주시,"15,900",,33.480402,126.5267633,대한민국 제주특별자치도 제주시 도남동
해비치호텔앤드리조트 이디 조식뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111170814,https://www.jejumobile.kr/datas/e9bb955cbb7308cfd5bab2435e3007cf.jpg,서귀포시 동부,"23,400",,33.3231785,126.8445353,대한민국 제주특별자치도 서귀포시 표선면 표선리 40-69
스카이워터쇼|제주공연|워터쇼,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111769844,https://www.jejumobile.kr/datas/952ed878543120d163e696c6cbd9f338.jpg,제주시 동부,"15,900",,0.0,0.0,
해비치호텔앤드리조트 섬모라 디너뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111448962,https://www.jejumobile.kr/datas/14bc5c43ba6534370306ee53b638b35c.jpg,서귀포시 동부,"55,800",,33.3231785,126.8445353,대한민국 제주특별자치도 서귀포시 표선면 표선리 40-69
그랜드조선제주 아리아 런치|중문|제주호텔뷔페|그랜드조선|아리아,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111651132,https://www.jejumobile.kr/datas/e49c0b4127f0144f5c727448b6478813.jpg,서귀포시,"40,500",예약필수,33.2524795,126.4080501,대한민국 제주특별자치도 서귀포시 중문관광로72번길 60
그랜드조선제주 아리아 디너|제주호텔뷔페|중문|그랜드조선|제주아리아,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111654030,https://www.jejumobile.kr/datas/2e581cc6539495aade444c23575308d3.jpg,서귀포시,"60,900",예약필수,33.2524795,126.4080501,대한민국 제주특별자치도 서귀포시 중문관광로72번길 60
제주신화월드 스카이온파이브 다이닝 뷔페|신화월드뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111724451,https://www.jejumobile.kr/datas/5d3763a9502239c20f4acaef2bb68c86.jpg,서귀포시,"31,500",예약필수,33.3076614,126.3177012,"대한민국 제주특별자치도 서귀포시 특별자치도, 신화역사로 304번길 38 메리어트관 제주신화월드 호텔 앤 리조트 5층 KR"
메종글래드 삼다정 디너뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111434783,https://www.jejumobile.kr/datas/10a1f6139da3b84e0b59046d133899de.jpg,제주시,"54,200",예약필수,33.48531639999999,126.4883664,대한민국 제주특별자치도 제주시 연동 노연로 80 1층
메종글래드 삼다정 런치뷔페,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111431451,https://www.jejumobile.kr/datas/e7a21257e96723ce32fc27ff2abdd927.jpg,제주시,"31,700",예약필수,33.48531639999999,126.4883664,대한민국 제주특별자치도 제주시 연동 노연로 80 1층
메이즈랜드,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111173030,https://www.jejumobile.kr/datas/5ed12a251a53fd1a83ce6759648b7e88.jpg,제주시 동부,"7,500",,33.4887415,126.8009514,대한민국 제주시 제주특별자치도 제주시 구좌읍 비자림로 2134-47 메이즈랜드
맛의고수 |애월맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111414343,https://www.jejumobile.kr/datas/102ccf16a0e03c8b984fb56b527e102b.jpg,제주시 서부,"9,500",,33.4615296,126.3120811,"대한민국 제주특별자치도 제주시 특별자치도, 애월읍 애월리 2481-3 1층 KR"
제주연동흑돼지숯불구이_원조 제원 깡통 숯불구이,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111550714,https://www.jejumobile.kr/datas/aeb615bb7168bb9052ae9cde6312c4aa.jpg,제주시,"33,250",,0.0,0.0,
봄그리고가을리조트 조식 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111437764,https://www.jejumobile.kr/datas/1eb70f91e456d267332ccea2b4072352.jpg,서귀포시 동부,"11,200",,33.4741667,126.9111111,대한민국 제주특별자치도 서귀포시 성산읍 해맞이해안로 2660
제주 토스카나호텔 까보스코 레스토랑 다이닝 디너,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111508363,https://www.jejumobile.kr/datas/403f2529f1b51a8f3fe44429dd3cb9c2.jpg,서귀포시,"49,500",예약필수,33.2654708,126.4842819,"대한민국 제주특별자치도 서귀포시 특별자치도, 강정동 3700-4 KR"
생돈우리 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111407202,https://www.jejumobile.kr/datas/bcab1ca81b2817889928e18a52bd1aa7.jpg,제주시,"30,000",예약필수,0.0,0.0,
돔베보이 중문점|제주맛집,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111730505,https://www.jejumobile.kr/datas/113782e2c5b747be06ebaaa984038359.jpg,서귀포시,"16,100",,33.4890113,126.4983023,대한민국 제주특별자치도
카페 에그인 선셋|제주|한림,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111752925,https://www.jejumobile.kr/datas/bf19a563988c8a07f93b3e41d6614d06.jpg,제주시 서부,"9,000",,33.4220163,126.2622216,"대한민국 제주특별자치도 제주시 특별자치도, 한림읍 한수1길 33"
서귀포잠수함,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177816,https://www.jejumobile.kr/datas/4a653b9e04eeadfd6b6b4294834216e1.jpg,서귀포시,"39,000",예약필수,33.2392231,126.5586562,대한민국 제주특별자치도 서귀포시 남성중로 40
봄그리고가을리조트 석식 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111432984,https://www.jejumobile.kr/datas/0328ffe01a462363f90ec9ee6e214ec6.jpg,서귀포시 동부,"17,800",예약필수,33.4741667,126.9111111,대한민국 제주특별자치도 서귀포시 성산읍 해맞이해안로 2660
만조이천쌀밥 성산점 |서귀포맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177743,https://www.jejumobile.kr/datas/860c9702bbe7a93a0a22d889227f742d.jpg,서귀포시 동부,"27,000",,33.4609007,126.9311907,대한민국 서귀포시
영주말가든 |제주맛집|,https://www.jeju.com/item/ss_view.html?agt=jeju&prdno=111177194,https://www.jejumobile.kr/datas/be1a2c5b8c3bc0f37942687b7a0e1f28.jpg,제주시,"28,700",예약필수,33.4812491,126.5044744,대한민국 제주특별자치도 제주시 오라이동 3110-2 제주특별자치도
