장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
312,코코비치 리조트,제주특별자치도 서귀포시 태평로92번길 37 코코비치리조트,숙박,33.2410482,126.5316374,2018-06-01,2018-06-01,제주특별자치도 서귀포시 대륜동 1616-8,y
334,예스렌트카,제주특별자치도 제주시 연사3길 14 오라뜨래별아파트,렌트카,33.476021,126.4406514,2018-06-05,2018-06-05,제주특별자치도 제주시 애월읍 광령리 1637,y
414,명송 리조트,제주특별자치도 제주시 비자림로 1220 명송리조트,숙박,33.4346122,126.7358047,2018-06-18,2018-06-18,제주특별자치도 제주시 구좌읍 송당리 2610,y
396,발리 리조트,,숙박,33.3889876,126.2498654,2018-06-17,2018-06-17,제주특별자치도 제주시 한림읍 협재리 1082,y
406,초이호스텔 레이디,제주특별자치도 서귀포시 태평로335번길 5,숙박,33.2471527,126.5578042,2018-06-18,2018-06-18,제주특별자치도 서귀포시 천지동 316-6,y
637,간이옥돔역(카페),제주특별자치도 제주시 세화7길 23-14,카페,33.2852341,126.750019,2018-07-07,2018-07-07,제주특별자치도 서귀포시 남원읍 태흥리 364-4,y
610,윈드스톤,제주특별자치도 제주시 광성로 277,카페,33.460696,126.4363692,2018-07-06,2018-07-06,제주특별자치도 제주시 애월읍 광령리 1345-1,y
614,종종식당,제주특별자치도 제주시 용담로 3 제주출입국관리사무소,식당,33.5136148,126.5029779,2018-07-06,2018-07-06,제주특별자치도 제주시 용담2동 953,y
670,제주엔젤렌트카,제주특별자치도 제주시 도령로 171-1,렌트카,33.4963435,126.4930136,2018-07-09,2018-07-09,제주특별자치도 제주시 용담2동 1815,y
603,R&T호텔,제주특별자치도 제주시 중앙로14길 30-1,숙박,33.5111769,126.52116,2018-07-05,2018-07-05,제주특별자치도 제주시 삼도2동 914,y
622,애월더선셋(카페),제주특별자치도 제주시 김녕로14길 41 김녕교회,카페,33.4574336,126.3089261,2018-07-07,2018-07-07,제주특별자치도 제주시 애월읍 곽지리 1369-2,y
623,몽상드애월(카페),제주특별자치도 제주시 김녕로14길 41 김녕교회,카페,33.4627502,126.3091009,2018-07-07,2018-07-07,제주특별자치도 제주시 애월읍 애월리 2542-1,y
766,천지연크리스탈호텔,제주특별자치도 서귀포시 솔동산로 40 천지연호텔,숙박,33.2418787,126.562436,2018-07-13,2018-07-13,제주특별자치도 서귀포시 송산동 654-5,y
928,어마장장(해물뚝배기),제주특별자치도 제주시 성지로 62,식당,33.5110587,126.529854,2018-07-26,2018-07-26,제주특별자치도 제주시 일도2동 1028-49,y
945,더베스트 성산,제주특별자치도 서귀포시 동류암로 28,호텔,33.4497241,126.9170336,2018-07-30,2018-07-30,제주특별자치도 서귀포시 성산읍 고성리 298-17,y
946,R&T 호텔,제주특별자치도 제주시 중앙로 110,호텔,33.508472,126.523701,2018-07-30,2018-07-30,제주특별자치도 제주시 삼도2동 216,y
952,앤트러사이트,제주특별자치도 제주시 한림로 564,카페,33.4076528,126.2582504,2018-07-31,2018-07-31,제주특별자치도 제주시 한림읍 동명리 1715,y
