마을명,시군구명,읍면동명,행정리명,낚시터명,낚시터유형,낚시터전화번호,소재지도로명주소,소재지지번주소,위도,경도,주요어종,주요포인트,주변환경유형,안전시설현황,편익시설현황,주차가능수,데이터기준일자
태흥1리마을,서귀포시,남원읍,태흥1리,태흥리 갯바위,바다,,,제주특별자치도 서귀포시 남원읍 태흥리 1831-3,33.2790840139,126.7311382980,참돔+돌돔+다금바리+벵어돔+부시리,,갯바위,,,,2022-09-30
가파리마을 ,서귀포시,대정읍,가파리,큰아끈여 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 428,33.1697166024,126.2645450726,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
가파리마을 ,서귀포시,대정읍,가파리,냇골챙이 정자 아래 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 525-3,33.1670831174,126.2682441739,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
가파리마을 ,서귀포시,대정읍,가파리,가파도 남측 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 533-1,33.1640651788,126.2709760644,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
가파리마을 ,서귀포시,대정읍,가파리,가파도 제단 밑 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 18-1,33.1681219753,126.2786291369,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
가파리마을 ,서귀포시,대정읍,가파리,옹짓물 정자 아래 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 3,33.1706264132,126.2774936511,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
마라리마을,서귀포시,대정읍,마라리,할망당 아래 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 584,33.1221093158,126.2677441396,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
마라리마을,서귀포시,대정읍,마라리,장군바위 부근 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 가파리 583-1,33.1139334356,126.2684521426,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
무릉1리마을,서귀포시,대정읍,무릉1리,무릉리 해안도로 갯바위,바다,,,제주특별자치도 서귀포시 대정읍 무릉리 4093-3,33.2596952795,126.1835805970,감성돔+벤자리+삼치+방어+벵에돔+한치,,갯바위,,,,2022-09-30
상모1리마을,서귀포시,대정읍,상모1리,산이물,바다,,,제주특별자치도 서귀포시 대정읍 상모리 130-10,33.2061098283,126.2908393840,벵에돔+농어+자리돔+볼락+한치+참돔+부시리,,갯바위,,,,2022-09-30
