구분,상호명,소재지,객실수,연락처,비고,데이터기준일자
관광호텔업,(주)호텔하니크라운,제주특별자치도 제주시 삼성로 10  ,61,064-758-4200,특이사항없음,2022-11-22
관광호텔업,글래드호텔앤리조트㈜ 메종글래드제주,제주특별자치도 제주시 노연로 80 ,513,064-747-5000,특이사항없음,2022-11-22
관광호텔업,제주썬호텔,제주특별자치도 제주시 삼무로 67   ,203,064-741-8000,특이사항없음,2022-11-22
관광호텔업,제주로얄호텔,제주특별자치도 제주시 신대로12길 45 ,126,064-743-2222,특이사항없음,2022-11-22
관광호텔업,제주팔레스호텔,제주특별자치도 제주시 탑동로 9,94,064-753-8811,특이사항없음,2022-11-22
관광호텔업,제주서울관광호텔,제주특별자치도 제주시 탑동로 5,108,064-752-2211,휴업기간(2019-01-07~2025-12-31),2022-11-22
관광호텔업,펄호텔 제주,제주특별자치도 제주시 신대로20길 49  ,88,064-742-8871,특이사항없음,2022-11-22
관광호텔업,제주아일랜드호텔리조트,제주특별자치도 제주시 애월읍평화로 2477,101,064-799-8222,휴업기간(2021-12-23~2026-12-31),2022-11-22
관광호텔업,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47,321,064-752-8222,특이사항없음,2022-11-22
관광호텔업,삼해인관광호텔,제주특별자치도 제주시 도령로 108  ,86,064-742-5311,특이사항없음,2022-11-22
관광호텔업,호텔 스카이파크,제주특별자치도 제주시 삼무로 48,147,064-797-0000,특이사항없음,2022-11-22
관광호텔업,제주퍼시픽호텔,제주특별자치도 제주시 서사로 20   ,177,064-758-2500,특이사항없음,2022-11-22
관광호텔업,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26 ,121,064-757-7111,특이사항없음,2022-11-22
관광호텔업,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,54,064-766-8888,특이사항없음,2022-11-22
관광호텔업,금룡관광호텔,제주특별자치도 제주시 삼무로 79,70,064-747-8885,휴업기간(2022-07-01~2024-12-31),2022-11-22
관광호텔업,코쿤애월,제주특별자치도 제주시 애월읍 중엄3길 50,30,064-744-8006,특이사항없음,2022-11-22
관광호텔업,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66  ,400,064-729-8100,특이사항없음,2022-11-22
관광호텔업,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490,74,064-783-0007,특이사항없음,2022-11-22
