행정시,업소명,소재지(도로명),읍면동,전화번호,업태,데이터기준일자
제주시,푸른밤의해안속초식당,제주특별자치도 제주시 노형로 40,해안동,064-753-3919,한식,2022-02-21
제주시,명가천지연무태장어,제주특별자치도 제주시 아연로 438-22,오등동,064-747-8300,한식,2022-02-21
제주시,큰맘할매순대국제주곽지점,제주특별자치도 제주시 애월읍 곽지1길 3,애월읍,064-799-6577,한식,2022-02-21
제주시,화순식당,제주특별자치도 제주시 광성로 269,애월읍,064-747-7873,한식,2022-02-21
제주시,제주반딧불한담애월점,제주특별자치도 제주시 애월로 1길 24,애월읍,064-799-0781,한식,2022-02-21
제주시,남또리자연산활어회,제주특별자치도 제주시 애월해안로 384,애월읍,064-799-1711,일식,2022-02-21
제주시,제주광해애월점,제주특별자치도 제주시 애월해안로 867,애월읍,064-713-4789,한식,2022-02-21
제주시,장촌한우마을,제주특별자치도 제주시 애월읍 천덕로 440-4,애월읍,064-799-7889,한식,2022-02-21
제주시,하귀바글바글가든,제주특별자치도 제주시 하귀5길 6,애월읍,064-713-2555,한식,2022-02-21
제주시,돈황제,제주특별자치도 제주시 하귀동남1길 32-1,애월읍,064-711-6992,한식,2022-02-21
제주시,문동일셰프녹차고을,제주특별자치도 제주시 해귀동남 4길 13-1,애월읍,064-712-1780,한식,2022-02-21
제주시,하귀청마루,제주특별자치도 제주시 애월읍 항몽로 71-1,애월읍,064-711-9233,한식,2022-02-21
제주시,하늘채,제주특별자치도 제주시 오등14길 4,오등동,064-749-1068,한식,2022-02-21
제주시,고기왕,제주특별자치도 제주시 일주서로 7329-3,외도동,064-711-8577,한식,2022-02-21
제주시,다원우,제주특별자치도 제주시 우령6길 75-1,외도동,064-712-4710,한식,2022-02-21
제주시,조마루뼈다귀외도점,제주특별자치도 제주시 우정로11길3,외도동,064-742-5885,한식,2022-02-21
제주시,삼춘이야기,제주특별자치도 제주시 우정로12길 1,외도동,064-711-9233,일식,2022-02-21
제주시,도남오거리외도점,제주특별자치도 제주시 우정로7길 26-3,외도동,064-743-9255,한식,2022-02-21
제주시,대연정,제주특별자치도 제주시 우정로8길 8,외도동,064-747-3931,한식,2022-02-21
제주시,도치돌가든,제주특별자치도 제주시 애월읍 천덕로 440-1,애월읍,064-799-1415,한식,2022-02-21
제주시,광평도새기촌본점,제주특별자치도 제주시 애월읍 구엄동3길 64,애월읍,064-752-3308,한식,2022-02-21
제주시,영복갈비,제주특별자치도 제주시 우정로5길 5,외도동,064-711-5794,한식,2022-02-21
제주시,육장갈비하귀점,제주특별자치도 제주시 애월읍 하광로 19,애월읍,064-712-7682,한식,2022-02-21
제주시,㈜풍원정인국수,제주특별자치도 제주시 애월읍 유수암평화길 242,애월읍,064-799-8338,한식,2022-02-21
